ca,blue,green,red,nir,swir1,swir2,VI,NDVI,TVI,DOY,AQI
0.4625,0.4829,0.4692,0.4753,0.5209,0.3827,0.3201,0.0456,0.045773941,0.738765146,143,21
0.471,0.4887,0.4711,0.479,0.5249,0.3888,0.3179,0.0459,0.045721685,0.738729778,143,21
0.2603,0.2665,0.2888,0.2883,0.3705,0.3529,0.2867,0.0822,0.124772313,0.7904254,316,21
0.2567,0.2624,0.2861,0.2852,0.3676,0.349,0.2822,0.0824,0.12622549,0.791344104,316,21
0.1374,0.135,0.1225,0.1106,0.2511,0.3291,0.2806,0.1405,0.388443461,0.942572788,319,21
0.1285,0.128,0.1177,0.106,0.2504,0.3267,0.2762,0.1444,0.405162738,0.951400409,319,21
0.0922,0.139,0.1506,0.1482,0.2198,0.312,0.2638,0.0716,0.194565217,0.833405794,300,21
0.1,0.1455,0.1501,0.1487,0.225,0.3234,0.2601,0.0763,0.204174472,0.839151042,300,21
0.2862,0.2857,0.2927,0.2909,0.3497,0.2936,0.24,0.0588,0.091788948,0.769278199,159,21
0.2842,0.2847,0.2925,0.2893,0.348,0.2919,0.2383,0.0587,0.092107328,0.769485106,159,21
0.1081,0.1157,0.1375,0.1591,0.3462,0.3948,0.2337,0.1871,0.370275084,0.932885354,63,21
0.0944,0.1044,0.132,0.1542,0.347,0.3937,0.2272,0.1928,0.384676776,0.940572579,63,21
0.1858,0.1774,0.2131,0.2126,0.2734,0.268,0.22,0.0608,0.125102881,0.79063448,287,21
0.1446,0.1441,0.1968,0.1997,0.2723,0.2676,0.2099,0.0726,0.153813559,0.808587385,287,21
0.1346,0.1298,0.1812,0.1816,0.2193,0.2389,0.2082,0.0377,0.094038414,0.770738875,303,21
0.1291,0.1452,0.1801,0.1836,0.2575,0.2465,0.2007,0.0739,0.167535706,0.817028583,191,21
0.1337,0.1307,0.1778,0.1823,0.2213,0.2373,0.1992,0.039,0.096630327,0.772418492,303,21
0.1513,0.1607,0.1864,0.1884,0.2582,0.2439,0.1976,0.0698,0.156291984,0.8101185,191,21
0.0678,0.086,0.1159,0.1176,0.2017,0.2175,0.1803,0.0841,0.263388663,0.873721158,348,21
0.0687,0.086,0.1171,0.1185,0.2024,0.2168,0.1796,0.0839,0.261452166,0.872612265,348,21
0.1433,0.1563,0.1734,0.1735,0.2485,0.2413,0.176,0.075,0.177725118,0.82324062,300,21
0.0332,0.0447,0.0703,0.0746,0.193,0.2038,0.1694,0.1184,0.44245142,0.970799372,316,21
0.2396,0.2389,0.2425,0.2395,0.3196,0.2387,0.1684,0.0801,0.143265963,0.802038629,239,21
0.0659,0.0746,0.0996,0.0993,0.2186,0.209,0.1678,0.1193,0.375275244,0.935561459,319,21
0.051,0.0636,0.0956,0.096,0.2185,0.21,0.1675,0.1225,0.389507154,0.943136869,319,21
0.0594,0.0644,0.0793,0.0815,0.1949,0.2002,0.1674,0.1134,0.410274964,0.954083311,316,21
0.2391,0.2382,0.2414,0.2381,0.3192,0.2386,0.1664,0.0811,0.145523058,0.803444496,239,21
0.0651,0.0817,0.1091,0.1172,0.1952,0.1857,0.1588,0.078,0.249679898,0.865840573,335,21
0.0695,0.0823,0.1055,0.1147,0.1949,0.1836,0.1558,0.0802,0.259043928,0.871231271,335,21
0.0643,0.0741,0.0942,0.0882,0.3071,0.2131,0.1194,0.2189,0.553756641,1.026526493,300,21
0.0738,0.0814,0.0981,0.0911,0.3083,0.2119,0.1155,0.2172,0.543815724,1.021673002,300,21
0.0421,0.0539,0.0819,0.0868,0.2109,0.1933,0.1121,0.1241,0.416862613,0.957529432,335,21
0.0716,0.0808,0.0937,0.0956,0.1533,0.1442,0.1094,0.0577,0.231820008,0.855464791,63,21
0.043,0.0548,0.0822,0.087,0.2118,0.196,0.109,0.1248,0.417670683,0.957951295,335,21
0.0685,0.0779,0.0913,0.0926,0.1491,0.1433,0.1058,0.0565,0.233760861,0.856598424,63,21
0.0782,0.0713,0.0832,0.0692,0.1875,0.1482,0.0909,0.1183,0.46084924,0.980229177,332,21
0.0762,0.0703,0.0808,0.0671,0.188,0.1471,0.088,0.1209,0.473931791,0.986879826,332,21
0.025,0.0365,0.067,0.0563,0.2753,0.1549,0.0808,0.219,0.660434258,1.077234542,303,21
0.0482,0.0676,0.0831,0.0821,0.1284,0.1059,0.0743,0.0463,0.219952494,0.848500144,364,21
0.0494,0.0674,0.0824,0.0802,0.1277,0.1057,0.0732,0.0475,0.228475228,0.853507603,364,21
0.0738,0.0769,0.0789,0.0608,0.2378,0.1079,0.0612,0.177,0.592766242,1.045354601,300,21
0.0826,0.0837,0.0829,0.0649,0.2369,0.1085,0.0603,0.172,0.56991385,1.0343664,300,21
0.0782,0.0824,0.0875,0.0666,0.0557,0.0333,0.026,-0.0109,-0.089125102,0.64099524,47,21
0.0634,0.0696,0.0797,0.0581,0.0491,0.0318,0.0256,-0.009,-0.083955224,0.64501533,47,21
0.3665,0.3907,0.4171,0.4428,0.5472,0.5435,0.4432,0.1044,0.105454545,0.778109597,95,22
0.3682,0.3925,0.4193,0.4445,0.5491,0.5451,0.4424,0.1046,0.105273752,0.777993414,95,22
0.4571,0.4616,0.4742,0.488,0.5493,0.4949,0.39,0.0613,0.059095729,0.747727042,332,22
0.4557,0.4611,0.4707,0.4816,0.5459,0.4934,0.3804,0.0643,0.062579075,0.750052715,332,22
0.1448,0.1431,0.1043,0.0864,0.2693,0.4109,0.3726,0.1829,0.514197357,1.00707366,303,22
0.1292,0.1303,0.0968,0.0794,0.2637,0.3942,0.3539,0.1843,0.537161177,1.018411104,303,22
0.2433,0.252,0.2604,0.2753,0.3764,0.3535,0.2991,0.1011,0.15513273,0.809402699,47,22
0.2431,0.2521,0.2613,0.2761,0.3764,0.3534,0.2984,0.1003,0.153716475,0.80852735,47,22
0.135,0.1325,0.0987,0.0863,0.2424,0.33,0.2725,0.1561,0.474901126,0.987370815,335,22
0.1244,0.125,0.0931,0.082,0.239,0.3244,0.2711,0.157,0.489096573,0.994533344,335,22
0.124,0.1318,0.1864,0.1959,0.2641,0.298,0.2667,0.0682,0.14826087,0.80514649,95,22
0.2463,0.2591,0.2653,0.2683,0.3806,0.325,0.2633,0.1123,0.173062105,0.820403623,191,22
0.2473,0.2601,0.2659,0.2688,0.3814,0.3258,0.2617,0.1126,0.173177484,0.820473939,191,22
0.131,0.137,0.1842,0.1958,0.266,0.2957,0.2573,0.0702,0.152013859,0.807473751,95,22
0.7066,0.7137,0.7264,0.7369,0.7558,0.4026,0.2544,0.0189,0.01266162,0.716003924,159,22
0.707,0.7139,0.7263,0.7363,0.7557,0.4028,0.254,0.0194,0.013002681,0.716242055,159,22
0.0984,0.11,0.1375,0.1603,0.3702,0.3742,0.22,0.2099,0.395664467,0.946395513,127,22
0.0688,0.0891,0.1285,0.153,0.3702,0.3793,0.2166,0.2172,0.415137615,0.956628253,127,22
0.1052,0.1227,0.1436,0.1496,0.2945,0.2698,0.2088,0.1449,0.326277865,0.908998276,79,22
0.1239,0.1259,0.1626,0.1719,0.2841,0.2611,0.207,0.1122,0.246052632,0.863743383,255,22
0.0983,0.1409,0.1746,0.1873,0.2681,0.2695,0.2062,0.0808,0.177426438,0.823059195,364,22
0.178,0.1936,0.1958,0.2046,0.2717,0.2744,0.2041,0.0671,0.140877598,0.800548311,364,22
0.119,0.1225,0.1599,0.1678,0.2835,0.2607,0.1991,0.1157,0.256370485,0.869695628,255,22
0.1167,0.1198,0.1614,0.1662,0.2269,0.2181,0.1726,0.0607,0.154413635,0.808958364,348,22
0.0558,0.066,0.0985,0.1023,0.3667,0.3238,0.1706,0.2644,0.563752665,1.031383859,335,22
0.0705,0.0871,0.1167,0.1228,0.1827,0.1954,0.1702,0.0599,0.196072013,0.834309303,95,22
0.1223,0.1233,0.157,0.1627,0.227,0.2176,0.1688,0.0643,0.164998717,0.815474535,348,22
0.0557,0.0651,0.097,0.1003,0.3655,0.328,0.1677,0.2652,0.569343066,1.034090453,335,22
0.0718,0.0867,0.1148,0.1209,0.1805,0.1927,0.1664,0.0596,0.197743862,0.835310638,95,22
0.1567,0.1618,0.1629,0.1632,0.2244,0.2091,0.1571,0.0612,0.157894737,0.811107106,319,22
0.1594,0.1655,0.1644,0.1652,0.2282,0.211,0.1563,0.063,0.160142349,0.812491445,319,22
0.0372,0.0536,0.0825,0.0883,0.1965,0.1943,0.1504,0.1082,0.37991573,0.938038235,348,22
0.0536,0.0664,0.0881,0.0928,0.1975,0.1919,0.1489,0.1047,0.360661385,0.927718376,348,22
0.0435,0.0666,0.1094,0.102,0.2943,0.2023,0.1368,0.1923,0.485238456,0.992591787,127,22
0.0549,0.0718,0.1035,0.1023,0.1988,0.1824,0.1366,0.0965,0.320491531,0.905809876,79,22
0.0614,0.0727,0.0983,0.0928,0.1917,0.1793,0.1356,0.0989,0.347627417,0.920666833,79,22
0.0565,0.0751,0.1118,0.1027,0.2966,0.2012,0.1312,0.1939,0.4855998,0.992773791,127,22
0.0423,0.0581,0.0899,0.0809,0.3026,0.226,0.1305,0.2217,0.57809648,1.038314249,348,22
0.0615,0.0765,0.1116,0.1147,0.2212,0.1863,0.1303,0.1065,0.317058648,0.903912965,364,22
0.0494,0.0603,0.0873,0.076,0.3065,0.2247,0.1275,0.2305,0.602614379,1.050054465,348,22
0.0982,0.1022,0.1207,0.1205,0.2207,0.1857,0.1272,0.1002,0.293669402,0.89088125,364,22
0.0351,0.047,0.0769,0.0771,0.2193,0.1966,0.1242,0.1422,0.479757085,0.989826795,316,22
0.0419,0.0574,0.0875,0.0871,0.2332,0.1886,0.1211,0.1461,0.456134874,0.977821494,364,22
0.0964,0.0984,0.1023,0.1039,0.1407,0.1413,0.11,0.0368,0.150449714,0.806504627,319,22
0.0383,0.0558,0.0844,0.0899,0.1356,0.1405,0.1088,0.0457,0.202660754,0.838248623,319,22
0.0499,0.0632,0.0902,0.0892,0.1834,0.1365,0.1014,0.0942,0.345561262,0.919544051,348,22
0.0528,0.0638,0.0894,0.0877,0.1871,0.137,0.1006,0.0994,0.361717613,0.928287462,348,22
0.0869,0.0877,0.0909,0.0838,0.1137,0.0924,0.0716,0.0299,0.151392405,0.807088846,284,22
0.0833,0.0846,0.0883,0.0811,0.1137,0.0915,0.0704,0.0326,0.167351129,0.816915619,284,22
0.0843,0.0821,0.0814,0.0729,0.0941,0.0781,0.0589,0.0212,0.126946108,0.791799285,63,22
0.0693,0.069,0.0731,0.0638,0.0895,0.0783,0.0583,0.0257,0.16764514,0.817095551,63,22
0.5509,0.5671,0.6237,0.6433,0.7085,0.6532,0.5335,0.0652,0.048231987,0.740426895,284,23
0.555,0.5727,0.6282,0.6458,0.7138,0.6544,0.5304,0.068,0.05001471,0.741629766,284,23
0.4356,0.4382,0.404,0.4014,0.4251,0.3604,0.3022,0.0237,0.028675136,0.727100499,332,23
0.4376,0.4403,0.4062,0.393,0.4267,0.3585,0.2929,0.0337,0.041112602,0.735603563,332,23
0.393,0.3942,0.4003,0.3997,0.4684,0.3677,0.2815,0.0687,0.079138348,0.761011398,159,23
0.3932,0.3943,0.4005,0.3993,0.4686,0.3678,0.2808,0.0693,0.079847909,0.761477451,159,23
0.3143,0.3181,0.3237,0.3293,0.4013,0.3395,0.2479,0.072,0.098549138,0.773659575,159,23
0.3081,0.3124,0.32,0.3242,0.395,0.3335,0.2452,0.0708,0.098442714,0.773590792,159,23
0.0787,0.0956,0.1279,0.1338,0.2408,0.2758,0.2424,0.107,0.285638014,0.886362236,95,23
0.0899,0.1028,0.1303,0.1339,0.2418,0.2672,0.2366,0.1079,0.287197232,0.887241361,95,23
0.4163,0.4209,0.4231,0.4318,0.4944,0.3338,0.231,0.0626,0.067587994,0.75338436,63,23
0.0921,0.111,0.1337,0.1398,0.2494,0.2825,0.2274,0.1096,0.281603289,0.884083304,316,23
0.0786,0.0908,0.1262,0.1257,0.2231,0.2548,0.2248,0.0974,0.279243119,0.882747483,47,23
0.0819,0.102,0.1252,0.1305,0.2501,0.2776,0.2227,0.1196,0.314240673,0.902352854,316,23
0.0827,0.094,0.1269,0.125,0.2259,0.2512,0.2172,0.1009,0.287546309,0.88743806,47,23
0.1236,0.1255,0.142,0.1426,0.2505,0.2391,0.1866,0.1079,0.274484864,0.880048217,63,23
0.1117,0.1152,0.1362,0.1368,0.2497,0.2401,0.1823,0.1129,0.292108668,0.890004869,63,23
0.0648,0.0812,0.1104,0.1198,0.1951,0.1842,0.1539,0.0753,0.239123531,0.859722939,303,23
0.1421,0.1402,0.1465,0.1392,0.2864,0.2146,0.1505,0.1472,0.345864662,0.919709009,63,23
0.0681,0.0823,0.1095,0.1194,0.1939,0.1821,0.1505,0.0745,0.237791254,0.85894776,303,23
0.143,0.1419,0.1464,0.1386,0.2849,0.2159,0.149,0.1463,0.345454545,0.919486022,63,23
0.1463,0.1405,0.1732,0.1691,0.2031,0.1924,0.1478,0.034,0.091348737,0.768992027,319,23
0.0788,0.0842,0.1098,0.0933,0.3702,0.261,0.1441,0.2769,0.597411003,1.047573865,319,23
0.0664,0.087,0.1275,0.1327,0.2184,0.196,0.1429,0.0857,0.244090003,0.862606517,175,23
0.0675,0.0754,0.1047,0.0881,0.3711,0.26,0.1426,0.283,0.616289199,1.056545881,319,23
0.0717,0.0882,0.1278,0.1317,0.2179,0.194,0.1424,0.0862,0.246567506,0.86404138,175,23
0.0948,0.1013,0.1543,0.1571,0.2016,0.1917,0.1412,0.0445,0.124059102,0.789974115,319,23
0.0512,0.0657,0.0935,0.0958,0.2335,0.2108,0.1388,0.1377,0.418159733,0.958206519,95,23
0.1214,0.1247,0.1329,0.1392,0.187,0.175,0.1337,0.0478,0.146535868,0.804074541,2,23
0.1276,0.1298,0.1321,0.1389,0.186,0.1759,0.1323,0.0471,0.144967682,0.8030988,2,23
0.0513,0.0612,0.0928,0.0907,0.2387,0.1714,0.1145,0.148,0.449301761,0.974321179,348,23
0.0708,0.0746,0.0973,0.0936,0.24,0.1718,0.1144,0.1464,0.438848921,0.968942166,348,23
0.0398,0.0442,0.0829,0.051,0.4503,0.2322,0.1069,0.3993,0.796529025,1.138652284,303,23
0.0434,0.0471,0.0839,0.0525,0.446,0.227,0.1058,0.3935,0.789368104,1.135503459,303,23
0.0555,0.0627,0.0882,0.0861,0.1757,0.1438,0.0994,0.0896,0.342245989,0.917739609,47,23
0.0585,0.0649,0.089,0.0865,0.1742,0.141,0.0961,0.0877,0.336401995,0.91455016,47,23
0.0683,0.0724,0.0779,0.0727,0.1167,0.117,0.0957,0.044,0.232312566,0.855752631,287,23
0.0545,0.0609,0.0712,0.0658,0.1119,0.1132,0.0921,0.0461,0.259425999,0.871450514,287,23
0.0738,0.0765,0.0818,0.0742,0.1001,0.0913,0.0747,0.0259,0.148594378,0.805353573,2,23
0.0343,0.0429,0.0583,0.0498,0.0861,0.0915,0.0745,0.0363,0.267108168,0.875847114,2,23
0.0556,0.0557,0.0622,0.0537,0.1433,0.0948,0.0602,0.0896,0.454822335,0.977150109,335,23
0.0954,0.1021,0.0979,0.0873,0.1304,0.0778,0.0565,0.0431,0.19797887,0.835451297,364,23
0.0995,0.1047,0.0988,0.0876,0.1324,0.0773,0.054,0.0448,0.203636364,0.838830355,364,23
0.5179,0.5492,0.5954,0.628,0.6931,0.6578,0.56,0.0651,0.049277118,0.741132321,47,24
0.5124,0.5436,0.5903,0.6211,0.6855,0.6533,0.5537,0.0644,0.049288229,0.741139817,47,24
0.546,0.5628,0.5731,0.5888,0.621,0.5766,0.4727,0.0322,0.02661597,0.725683105,332,24
0.5475,0.5643,0.573,0.5867,0.6214,0.5764,0.4621,0.0347,0.028722788,0.727133267,332,24
0.0601,0.0745,0.1105,0.125,0.3057,0.3812,0.2498,0.1807,0.41954957,0.958931473,79,24
0.0782,0.0878,0.1157,0.1288,0.3056,0.3717,0.2421,0.1768,0.406998158,0.952364509,79,24
0.3938,0.3952,0.3978,0.3958,0.4648,0.2856,0.2143,0.069,0.080176621,0.761693259,207,24
0.3937,0.3952,0.398,0.396,0.4651,0.2858,0.2142,0.0691,0.080246197,0.76173893,207,24
0.071,0.0848,0.1131,0.1186,0.2064,0.2429,0.2062,0.0878,0.270153846,0.877584096,2,24
0.0708,0.0836,0.1118,0.1165,0.2064,0.2404,0.2046,0.0899,0.27841437,0.882277944,2,24
0.0857,0.0897,0.1032,0.0998,0.2958,0.2632,0.2013,0.196,0.495449949,0.997722381,63,24
0.1664,0.1673,0.1796,0.1765,0.2404,0.2161,0.189,0.0639,0.153274166,0.808253776,287,24
0.1655,0.1665,0.1779,0.1744,0.2393,0.2152,0.1836,0.0649,0.156876964,0.810479465,287,24
0.0538,0.0604,0.0828,0.0875,0.2024,0.2081,0.1583,0.1149,0.396343567,0.946754227,303,24
0.0662,0.0688,0.0862,0.0886,0.203,0.2031,0.1537,0.1144,0.392318244,0.944625981,303,24
0.0596,0.0797,0.1009,0.0949,0.2467,0.198,0.1508,0.1518,0.444379391,0.971791846,2,24
0.0647,0.0728,0.1073,0.11,0.2906,0.2522,0.15,0.1806,0.450823764,0.975101925,316,24
0.0533,0.0648,0.1034,0.1073,0.2878,0.25,0.1489,0.1805,0.456846368,0.978185242,316,24
0.134,0.141,0.1375,0.1375,0.2625,0.1963,0.1421,0.125,0.3125,0.901387819,2,24
0.0454,0.0645,0.1049,0.0958,0.3042,0.1998,0.1375,0.2084,0.521,1.010445446,191,24
0.106,0.1092,0.1235,0.1243,0.2423,0.1979,0.1342,0.118,0.321876705,0.906574158,335,24
0.1156,0.1206,0.1323,0.1342,0.2196,0.177,0.1298,0.0854,0.24137931,0.861033861,143,24
0.115,0.1204,0.132,0.1339,0.2228,0.1773,0.1284,0.0889,0.249229044,0.865580178,143,24
0.0481,0.0627,0.0939,0.082,0.3068,0.1965,0.1159,0.2248,0.5781893,1.038358946,284,24
0.0571,0.0797,0.1143,0.1169,0.2075,0.1556,0.1111,0.0906,0.279284834,0.882771111,348,24
0.0576,0.0806,0.119,0.1198,0.2113,0.1575,0.111,0.0915,0.276351555,0.881108141,348,24
0.0459,0.0563,0.0835,0.0651,0.3107,0.1924,0.1101,0.2456,0.653539117,1.074029383,284,24
0.0291,0.0435,0.0751,0.0691,0.2196,0.1578,0.1077,0.1505,0.52130239,1.010595067,319,24
0.0457,0.0567,0.0782,0.0757,0.2211,0.173,0.1075,0.1454,0.489892183,0.994933256,2,24
0.0857,0.0875,0.0941,0.09,0.2224,0.1734,0.1067,0.1324,0.423815621,0.961153277,2,24
0.0546,0.0663,0.0917,0.0901,0.1981,0.1468,0.1052,0.108,0.374739764,0.935275234,287,24
0.0466,0.0611,0.0904,0.0892,0.1965,0.1465,0.1024,0.1073,0.375568778,0.935718322,287,24
0.0499,0.0563,0.0739,0.0701,0.1033,0.1142,0.1013,0.0332,0.191464821,0.831543638,364,24
0.0473,0.0561,0.0705,0.0782,0.1332,0.1349,0.1007,0.055,0.260170293,0.871877453,316,24
0.0523,0.0775,0.1094,0.1097,0.219,0.1407,0.1006,0.1093,0.332522057,0.912426466,303,24
0.1169,0.118,0.1292,0.1211,0.1871,0.1339,0.1004,0.066,0.214146658,0.845071984,2,24
0.0541,0.06,0.0718,0.0785,0.1324,0.1361,0.1003,0.0539,0.255571361,0.869236079,316,24
0.0683,0.086,0.1146,0.1116,0.2198,0.1406,0.0999,0.1082,0.326493663,0.909116969,303,24
0.117,0.1181,0.1298,0.1211,0.1873,0.1332,0.0988,0.0662,0.214656291,0.845373462,2,24
0.0635,0.0664,0.0782,0.0731,0.1041,0.1141,0.0986,0.031,0.174943567,0.821549491,364,24
0.748,0.7878,0.8016,0.8407,0.8991,0.5756,0.4297,0.0584,0.033567077,0.730456759,63,25
0.7436,0.7814,0.7935,0.8275,0.8907,0.5683,0.4124,0.0632,0.03678268,0.732654543,63,25
0.2971,0.3051,0.3215,0.329,0.4306,0.4066,0.3377,0.1016,0.133754608,0.79608706,332,25
0.3019,0.3014,0.3093,0.3135,0.352,0.3649,0.3215,0.0385,0.05785124,0.746894397,332,25
0.3025,0.3013,0.3093,0.3117,0.3516,0.3647,0.3145,0.0399,0.060153777,0.748434217,332,25
0.4023,0.4232,0.3472,0.3711,0.4276,0.2932,0.2551,0.0565,0.070739952,0.75547333,284,25
0.3981,0.4205,0.3424,0.3621,0.4219,0.2837,0.2462,0.0598,0.07627551,0.759128125,284,25
0.187,0.1833,0.1948,0.1835,0.2806,0.2706,0.215,0.0971,0.20922215,0.842153282,47,25
0.1837,0.1799,0.1896,0.1808,0.2779,0.2674,0.2119,0.0971,0.211685197,0.843614365,47,25
0.2212,0.2264,0.2211,0.2192,0.2833,0.253,0.2049,0.0641,0.127562189,0.792188228,159,25
0.2225,0.2283,0.2217,0.22,0.2846,0.2513,0.2028,0.0646,0.128022196,0.792478514,159,25
0.1123,0.1241,0.1427,0.1418,0.2974,0.2606,0.191,0.1556,0.35428051,0.924272963,143,25
0.1063,0.119,0.1388,0.1367,0.2981,0.2609,0.188,0.1614,0.371205152,0.933383711,143,25
0.1382,0.146,0.1583,0.1576,0.2515,0.2291,0.1692,0.0939,0.229528233,0.854124249,319,25
0.1387,0.1458,0.1593,0.1592,0.2527,0.2262,0.1684,0.0935,0.226996844,0.852641099,319,25
0.062,0.0679,0.0827,0.083,0.1349,0.1766,0.1543,0.0519,0.238182653,0.859175566,303,25
0.0595,0.0741,0.1017,0.0982,0.303,0.2669,0.1526,0.2048,0.510468594,1.005220669,303,25
0.0551,0.0633,0.0812,0.0826,0.1342,0.172,0.1521,0.0516,0.23800738,0.859073559,303,25
0.0492,0.066,0.0962,0.0935,0.2977,0.261,0.1514,0.2042,0.52198364,1.010932065,303,25
